,season,episode,live_viewership,featured_music,media_refs,plot
0,1,1, 6.88m ,8,2,"In a monochrome flash-forward sequence, set after the events of Breaking Bad. a man named Gene works behind the counter at a shopping-mall Cinnabon in Omaha, Nebraska. Gene becomes tense when a customer seems to be staring at him, but is instantly relieved when he passes by him. Later, inside a modest house, Gene is flipping through channels when he decides to retrieve a VHS cassette from a hidden shoe box. The tapes contents is revealed to be a copy of TV advertisements from Genes former life as the flamboyant criminal lawyer Saul Goodman. As the ads play, ""Gene"" begins to weep. In May 2002, Jimmy McGill is a down-on-his-luck Albuquerque public defender representing three teenagers charged with breaking into a funeral home and performing a sex act on a severed human head. Jimmys argument to the jury is that the youths actions were simply ""boys being boys."" In response to this, the prosecutor — without saying a word — plays a video which contains footage of the teens offenses. Several members of the jury, the judge, and the court reporter are unable to look at the tape.  Jimmy drives to HHM to confront one of the firms named partners, Howard Hamlin. He drops the torn pieces of the check on the conference room table and accuses HHM of trying to cheat his brother Chuck — a founding partner of the firm — out of his rightful share. Assuring Howard that Chuck will probably not be returning to work, Jimmy demands that HHM give Chuck his $17 million severance package. Howard refuses to concede, stating Chuck is still on ""extended sabbatical."" Howard tries to pass along some documents for Chuck but Jimmy declines, insisting that he ""doesnt work here anymore."" Jimmy then notices the Kettlemans stopping in to hire HHM over him. Jimmy maintains enough composure to reach the parking garage before venting his frustration on a trash bin. Noticing an HHM attorney, Kim Wexler, standing nearby smoking a cigarette, Jimmy borrows a drag off it before pleading to her for help. Kim states she can do nothing. Jimmy visits Chuck, who believes himself to be suffering from electromagnetic hypersensitivity and requires visitors to leave personal electronic devices in the mailbox before entering his house. The power to Chucks house is shut off and he works by lantern light on a manual typewriter. Chuck insists he’s going to get better in order to HHM and declines Jimmy’s pleas to demand a payout from his partners, as the firm would probably have to liquidate to raise the necessary cash. Jimmy says his public defender work wont keep both of them afloat, but Chuck replies that the experience of helping people is more important than money. Chuck also reassures Jimmy that he does not have to provide for him, since Howard stopped by to deliver a check over $857, the first of a new weekly stipend. He also relates Howards concern about Jimmy using his name in his law practice, and suggests that he change it so as not to confuse potential clients. An infuriated Jimmy leaves. Desperate for money, Jimmy tracks down the Lindholm twins and proposes a partnership. He explains how, back when his hometown of Cicero, Illinois, he was known as ""Slippin Jimmy"" — reputed for finding slippery patches of ice every winter, stage a fall, and extort money from people. Jimmy enlists the twins in a plan to use a similar gambit on Betsy, staging a similar slip-and-fall scenario at a certain intersection on her daily commute. One of the twins will be hit by Betsys station wagon, after which Jimmy will come in, having just ""happened"" to be driving by, and offer his legal surfaces to her. Jimmy will purportedly talk the twins out of suing the woman, later paying both $2,000 for their troubles. In her gratitude, Betsy will then convince her husband to drop HHM and hire Jimmy for the embezzlement case. The twins execute the plan perfectly, but moments after the “accident” occurs, the car drives off to the dismay of the skateboarders. The twins give chase to the station wagon, skitching on the back of a truck. Jimmy sees this as an opportunity to gain more money at the prospect of defending a felony hit-and-run case. The car pulls into a driveway, where a Hispanic elderly woman exits the car. Despite knowing that she is not Betsy, the twins attempt to scam the woman anyway and follow her into her house. Jimmy frantically searches for the twins — they were briefly in cellphone contact — and happens across the parked wagon. He knocks on the front door, claiming to be an officer of the court. However, when the door opens, Jimmy comes face to face with Tuco Salamanca, who pulls Jimmy into the house at gunpoint."
1,1,2, 3.42m ,6,1,"Tuco is preparing salsa in his kitchen when his grandmother returns home, followed by Cal and Lars. The twins, irate, begin to insist on getting money for the injury caused by the grandmothers ""hit and run."" They begin to argue loudly and insult Tucos grandmother, which agitates him. After sending her upstairs, Tuco beats both twins unconscious with a cane. While Tuco is cleaning up bloodstains on his carpet, Jimmy knocks on the front door and is immediately taken hostage. Under interrogation, Jimmy reveals himself to be an attorney representing his two clients, who called him after the hit and run. He insists that he did not target Tucos grandmother. Noticing the bloodstains, Jimmy guesses that Tuco has only hurt the twins because Tuco is a ""reasonable"" and ""just"" man. Jimmy attempts to barter with Tuco to save himself and the twins. Tuco agrees with Jimmy, and brings him to the garage where they are being held. Just as Tuco is about free them, one of the twins immediately outs Jimmys role in the scam. Tuco takes Jimmy and the twins out into the desert. Under more questioning by Tuco, Jimmy finally cops to the entire ordeal - how he put the twins up to the scam as a way to get back at Craig and Betsy for not hiring him as their lawyer. When Tuco threatens to sever Jimmys fingers with wire cutters, he desperately tries to claim that he is an FBI agent. While Tuco initially believes this, his second-hand man, Nacho Varga, quickly sees through this façade and threatens Jimmy into telling the truth. Jimmy admits that he is a lawyer who intended to scam the Kettlemans, and how he was just trying to find a way to climb up from the pit that has become his life before Tuco ""rescued"" him. Tuco frees Jimmy and because he told the truth and the only reason the twins were there in the first place was because of him. Later that night, Jimmy goes to a bar with a woman to drown his sorrows in alcohol. Traumatized from witnessing Tuco maiming the twins, Jimmy is distracted by staff members breaking breadsticks, which is a familiar sound with legs breaking. Jimmy excuses himself and vomits in the bathroom. As a public defender, Jimmy defends client after client while earning $700 each time he does it. This degrades Jimmy, losing case after case when the prosecutor isnt willing to budge, but eventually gets a confidence boost when he finally wins an acquittal. "
2,1,3, 3.23m ,3,3,"Some time in the past, Chuck goes to a jail to visit Jimmy, who has been arrested for property damage, assault charges and a potential sex offense. Jimmy pleads for Chuck to make his charges disappear. Although originally reluctant, Chuck agrees to help after Jimmy states that his life is over if he cant get out of his situation. However, Chuck warns Jimmy not to make a fool of him if he gets back out. Jimmy vows to change and do anything for Chuck. In the present, Jimmy is anxious about Nachos plot to extort Betsy and Craig. He calls Kim, who is providing counsel to the Kettlemans for HHM. Jimmy indirectly warns Kim about the danger to the Kettlemans, but when she presses him on how thinks that, he brushes off the claim and claims it is just drunk speculation. After he hangs up, he stares at his phone before stating he is ""no hero."" Later that night, Jimmy calls the Kettlemans from a payphone and leaves an anonymous warning. Concerned, the Kettlemans look outside their house and see somebody in a parked van watching them.  The next morning, Jimmy learns from Kim that something has happened to the Kettlemans. After getting into another argument with Mike about parking validation, he rushes to the Kettlemans house to find it surrounded by police and the family gone missing. At the station, Jimmy tells Nacho that witnesses have placed him in the van parked outside the Kettleman house, and that blood was found in the van when the police searched it. Nacho maintains his innocence, saying that he watched the house but did not kidnap them. Nacho warns Jimmy that if he does not get his charges dropped, the police might uncover his connections to Tuco, which would result in Jimmys death. Jimmy tries to convince the police that Nacho is innocent, but they believe that he is covering for his client. Jimmy convinces Kim to take him to the house to examine the crime scene. Noticing inconsistent detail, such as a missing childs doll, Jimmy speculates that the Kettlemans staged their kidnapping so they could escape with their stolen money. He privately admits to Kim that he warned the Kettlemans about Nacho, which caused them to go into hiding. However, he has no way to prove his theory. The police ask Mike to press assault charges against Jimmy so that they can leverage him to testify against Nacho. Surprisingly, Mike takes Jimmys side and refuses to press charges, as he believes his theory about the Kettlemans disappearance is correct. Mike recounts a similar case he investigated as a Philadelphia police officer, where a suspect faked his disappearance: the authorities initially believed the suspect fled overseas, but he was really hiding near his own home. Mike tells Jimmy that  the Kettlemans are doing just that, hiding somewhere in the area, since it is human nature to stay near home. "
3,1,4, 2.87m ,10,3,"In a flashback, Jimmy (under the alias ""Saul Goodman"") and Stevie come across an unconscious man in an alleyway. Jimmy pokes the man with a stick and the man wakes up, flipping the two of them off and continuously taunting them. Frustrated with the mans rudeness, Stevie takes the money from his wallet and Jimmy steals his Rolex watch. Stevie offers a trade of the money in exchange for the more valuable Rolex and eventually offers him an additional $580 to bring the total to $1,580. It is later revealed that it was all a scam set up by Jimmy and the ""unconscious"" man, who is actually Jimmys longtime friend, Marco Pasternak. In the present, Craig and Betsy Kettleman plead with Jimmy not to expose them, offering $30,000 as a bribe that he initially refuses. Jimmy retorts with the option of them hiring him as their lawyer, which is in turn refused by the Kettlemans, who claim that he is ""the kind of lawyer guilty people would hire."" They refer back to the cash bribe. The next day, Jimmy purchases a new wardrobe from a local tailor, gets a makeover from Mrs. Nguyen at her beauty salon, and posts a billboard advertisement which shares obvious and deliberate similarities with HHM, presumably out of spite. When Kim confronts Jimmy and presents a cease-and-desist order at Howards behest, he at first playfully tries to shrug it off until he angrily admits that Howard ""fired the first shot"" by attempting to force Jimmy to cease using his name for business. Jimmy tells Kim that Howard is not appreciating her talent properly and that she deserves better. Kim warns Jimmy that Howard is preparing an injunction against him, and that this is a fight Jimmy will not be able to win.  In court, Jimmy and Howard argue in a judges chambers: Jimmy claims to be operating under ""fair use"", while Howard is firm in his assessment that Jimmy is clearly violating HHMs trademarks. The judge agrees with Howard and orders Jimmy to take down the billboard within 48 hours. However, Jimmy has been banking on this ruling and begins calling local news outlets in an attempt to cover his predicament as a human interest story.  As Jimmy visits Chuck, he brings him his newspapers as usual but hides the Albuquerque Journal, which bears a front-page story on Jimmys ""rescue"", to keep Chuck from seeing it. Chuck, still oblivious to Jimmys stunt, congratulates him on his success. Chuck notices the Journal is missing, which Jimmy dismisses. After he leaves, a suspicious Chuck painstakingly hurries to his neighbors house and collects their copy of the newspaper, leaving $5 as compensation. Back at home, Chuck reads about the story about Jimmy."
4,1,5, 2.71m ,5,0,"Two cops arrive at Chucks house after his neighbor, who witnessed Chuck stealing her newspaper, reported him. When Chuck refuses to open the door due to his electromagnetic hypersensitivity, one officer walks around the house to use the back door, finding that the breaker lines have been cut and that cans of oil on the floor. The two officers suspect that Chuck is a ""tweaker"". As Chuck lectures the officers about probable cause, they kick down the front door and taser him. Thanks to the billboard stunt, Jimmy gets a lot of potential business. He approaches an impressive ranch house to visit a prospective client, Big Ricky Sipes, who offers Jimmy $1 million in cash to help him ""personally secede"" from the U.S. Jimmys excitement at the windfall quickly dissipates when he realizes that the eccentric mogul wants to pay him in his own currency.  After Jimmy brings Chuck home and helps him to the couch, he catches sight of the Albuquerque Journal on the floor - still open to the article about the billboard stunt. He confronts Chuck, pointing out that his symptoms always seem to worsen when he thinks Jimmy has been up to no good. Chuck denies this, but Jimmy continues to plead his case: the billboard was just a bit of showmanship to get the ball rolling. Now hes ready to embrace the straight-and-narrow, even thinking of specializing in elder law. Chuck remains skeptical, but Jimmy vows sincerely that the stunt was a one-time thing. After another busy day at the courthouse, Jimmy pulls up to Mikes booth. For once, he has all the requisite parking stickers. He tells Mike cheerfully about his new venture into elder law and offers him a business card. As Jimmy drives off, Mike stays in his booth. Night dissolves into morning and Mike finishes his shift. After eating breakfast alone at Loyolas, he drives to a suburban neighborhood and parks across the street from a modest house. From inside his car, he watches as a woman exits the house, headed to work. As she drives by Mike, she slows and he makes no effort to conceal himself. The two lock eyes, but neither says a word. The woman drives off and so does Mike - in the opposite direction."
5,1,6, 2.57m ,3,0,"In a flashback, Mike arrives in Albuquerque by passenger train, travel-worn and carrying a lone duffel bag. He waits inside the station until his daughter-in-law, Stacey, picks him up. As she pulls the car around, he enters the empty ladies restroom to buy a maxi-pad from the coin-operated vending machine. Ducking into the men’s room, he unbuttons his shirt and reveals a fresh bullet wound beneath a blood-soaked bandage on his shoulder. Grimacing, he applies the pad to the wound, then buttons back up and leaves the station. At Stacey’s house, Mike pushes his young granddaughter Kaylee on a swing set. He takes a break to make small talk with Stacey, who seems to be keeping him at a distance. When she asks how long he’s planning to be in town, Mike tells her that hes going to stay indefinitely, to help out her and Kaylee. Stacey isnt thrilled by this news. Finally, she brings up what’s bothering her: she overheard Matt -- her husband and Mike’s son -- having a heated late-night phone conversation just a few days before his death. When she asks Mike if he was the one on the other end of the line, he denies remembering such a call and advises her not to dwell on it. Catching a taxi outside Stacey’s house, Mike finds a veterinarian, Dr. Caldera, who will stitch up his wound without asking too many questions. When the morally ambiguous vet offers to refer Mike for some “work,” he declines and says he’s not looking for that type of work. Jimmy arrives at the station with a cup of coffee, which Mike instructs him to spill on Abbasi after Mike answers his questions. Realizing that the stunt is a diversion that will allow Mike to steal the detective’s notepad, Jimmy refuses -- even after Mike reminds him that Jimmy owes him a favor for his help with finding the Kettlemans. When the detectives begin questioning Mike, Jimmy insists they start from the beginning and explain the events that brought them to New Mexico. Exasperated, Abbasi obliges: Mike was a cop in Philadelphia for nearly 30 years and his son Matt, a rookie, was killed in the line of duty nine months ago. Matt, along with his partner, Troy Hoffman, and his sergeant, Jack Fensky, were purportedly ambushed while responding to a shots-fired call in a bad neighborhood. Hoffman and Fensky escaped the attack, but were killed six months later in a similar ambush. Theorizing that Hoffman and Fensky were involved in corrupt activities that might have led to them -- and Matt -- getting killed, the detectives hope Mike can shed some light on what went down. Mike admits to seeing Hoffman and Fensky in a cop bar the night they were killed, but offers nothing more. He also says he wishes he could help the detectives, but he was drinking pretty heavily in those days and doesn’t remember anything else. Jimmy listens to Mike’s story quietly, gaining compassion for the man and his loss. After studying Abbasi’s notes about the case, Mike goes to Stacey’s house to confront her about calling the Philadelphia cops - he now knows shes the real reason why they’ve come to town. Upset, she explains that she made the call after discovering a large amount of mysterious cash hidden in the lining of a suitcase. Thinking Matt must have been involved in something criminal, she begs Mike to tell her the truth about her husband. Mike, livid at this suggestion, roars that Matt was ""not dirty"" before storming out of the house. When the bar closes, Mike is the last patron to leave. As he stumbles home, Fensky and Hoffman roll by in their cruiser and offer to give him a ride. When he declines, they insist, ushering Mike into the back of the cruiser and relieving him of his gun. Jovially, Fensky presses Mike about what he said to them earlier in the night. Still seemingly intoxicated, Mike declares in no uncertain terms what he meant: he’s sure that Hoffman and Fensky were responsible for his son’s murder and hes going to prove it. The cops trade glances."
6,1,7, 2.67m ,4,4,"Late at night, Jimmy and Mike wait for the Philadelphia detectives at the police station. When Abbasi and Sanders arrive, Jimmy returns the younger detective’s notebook, claiming that he found it on the ground in the parking lot. Irate, Abbasi confronts Mike about stealing it, asking if there is anything he’d like to say about the notebooks contents. The detectives tell Mike they’re interviewing with Stacey the next day. Abbasi storms out of the station, but Sanders lingers behind. In private, Sanders apologizes for Abbasi’s behavior, but Mike waves it off – the young detective was just doing his job. Mike concedes that he doesn’t know what Stacey will tell them; whatever she chooses to say is entirely her decision, and she’s earned the right to decide for herself.  In HHMs conference room, Kim meets with Betsy and Craig Kettleman. She advises them not to take their case to trial, because their chances of winning are very low. She urges the couple to take the plea deal she’s negotiated on their behalf, which would reduce Craig’s sentence from thirty years to only sixteen months. The Kettlemans refuse and fire Kim on the spot. Jimmy stops by HHM to collect the Kettleman case files and learns that Howard has demoted Kim to an office in a distant part of the building - loosely known the ""Cornfield"" in the firm - as punishment for losing the Kettlemans. Feeling guilty, he finds her in the parking garage and apologizes. She shrugs, knowing he did what he could. Kim warns Jimmy that Craig didn’t cover his tracks well and refuses to play the one chip he has: the missing money. It’s a loser case. "
7,1,8, 2.87m ,2,0,"In a flashback, a jubilant Jimmy pushes a mail cart at HHM. His smile fades as he reaches Kims office and holds up an envelope. He tells her that he cant open it, since hes too nervous about its contents. Kim takes the envelope and reads the letter, then kisses Jimmy. In Chucks office, Jimmy reveals that he has passed the state bar exam, having taken online courses and applying to the University of American Samoa. Jimmy asks if he can come work at HHM once he is sworn in. Chuck tells him that he has to confer with the other partners, but signals optimism. Later that day, Jimmy celebrates with Kim and his co-workers in the mail room. Howard stops by the party and - after the others have left - informs Jimmy that HHM will not be hiring him. In the present, Kim unpacks in her old office. After salvaging the Kettleman case, she is back in the good graces of HHM and has been allowed to return from exile in the dreaded ""Cornfield."" Howard convinces her to attend the firms press conference on the settlement of the Kettleman case. She agrees and stands demurely in the background as Howard makes the announcement.  At work, Mike recieves a call from Stacey, who has accepted the situation and forgiven him for his involvement in Matts death. She asks if he could watch Kaylee later on while she is at work, to which Mike readily agrees. There will be no impositions for her; anything she needs, Mike will provide.  Schweikart receives a fax that includes a new, proper demand letter from Jimmy and Chuck, along with copies of reassembled Sandpiper billing statements. Schweikart and his team arrive at Chucks house to negotiate with the McGill brothers. Jimmy meets them at the curb, curtly asks them to leave their electronics in the car, escorts them inside, and seats them at Chucks dining room table. He then ducks into the kitchen to get Chuck, whom he finds disheveled and in a state of anxiety. Jimmy reassures Chuck, helping him into his jacket as he restores Chucks confidence and leads him into the dining room where"
8,1,9, 2.38m ,1,2,"A short while after Chuck surprised both Jimmy and himself by leaving his house without wearing a space blanket, the brothers sit quietly on a nearby park bench. Chuck tries to relax and enjoy the sunshine, but keeps glancing nervously at the power lines overhead. Jimmy redirects his attention to the soft grass, successfully encouraging Chuck to take off his shoes. Finally reaching his limit, Chuck tells Jimmy that hes ready to go inside and get back to work building their case against Sandpiper Crossing. He rises and walks gingerly back toward his house, buoyant Jimmy at his side.   Kim visits Howard in his office, demanding to know why he refused to hire Jimmy. Howard coldly reminds her that shes talking out of turn and that this was a decision made by the partners. Shaken, Kim turns and begins to head out. Howard reconsiders and stops her. Not wanting the rest of the firm to hear what hes about to tell her, he instructs her to close the door. That night, Kim visits Jimmy at the nail salon and urges him to take Howards deal. Livid, Jimmy accuses her of being bought off by Howard. Near tears, she reiterates that taking the deal is the best thing for Jimmy but leaves without going into more detail. Bothered by their exchange, Jimmy retreats to his office and finally plugs his dead cell phone into the wall. As it begins to recharge, Jimmy ruminates - something about Kims insistence has gotten under his skin."
9,1,10, 2.53m ,13,0,"In a flashback to 1992 in Cicero, Illinois, shortly after Chuck has helped secure his release from jail, Jimmy stops by a local bar to say farewell to Marco, his best friend and partner in crime. He tells Marco that he’s moving to Albuquerque to work in the mailroom at Chuck’s law firm. Marco bemoans Jimmy’s decision, arguing that the move is a waste of Slippin’ Jimmy’s talents – but Jimmy’s mind is made up, and he leaves.   Off this high, the pair spend the next several days gleefully pulling one scam after another. After a week-long binge, Jimmy wakes in Marco’s apartment to a disappointed waitress who was under the impression that she had gone home the night before with Kevin Costner. As he gets dressed, his cell phone falls out of his pocket, prompting Jimmy to check his voicemail and find he has numerous messages from current and potential clients inquiring about his elder law services. Jimmy finally tells Marco that he’s a lawyer and it’s time for him to go back to Albuquerque. Marco is amazed that Slippin’ Jimmy is a lawyer - it’s the ultimate way to scam folks out of their money. Jimmy explains that he’s not ripping anybody off: he’s building a legitimate practice with clients who depend on him. Marco is unable to talk Jimmy into staying in Chicago for the long-term, but he reveals that he still has the last Rolex watch from their infamous scam and convinces Jimmy to pull one last con with him. Outside Marco’s funeral, Jimmy possesses Marcos pinkie ring, which was given to him by his mother. Jimmy takes a call from Kim, who informs him that the ballooning size of the Sandpiper case has led HHM to team up with another firm, Davis & Main. She tells him the partners at Davis & Main know all about Jimmy, and are willing to offer him a partner-track position - contingent upon a meeting with him later that week. Knowing that she must have pulled some strings to make this happen, an appreciative Jimmy thanks Kim."
